REGION_NAME,LAT,LON
강남구,37.5172,127.0473
강동구,37.5301,127.1238
강북구,37.6396,127.0257
강서구,37.5509,126.8495
관악구,37.4784,126.9516
광진구,37.5384,127.0823
구로구,37.4954,126.8874
금천구,37.4604,126.9023
노원구,37.6542,127.0568
도봉구,37.6688,127.0472
동대문구,37.5744,127.0396
동작구,37.5124,126.9392
마포구,37.5663,126.9015
서대문구,37.5794,126.9368
서초구,37.4836,127.0324
성동구,37.5633,127.0364
성북구,37.5894,127.0167
송파구,37.5145,127.1066
양천구,37.5243,126.8563
영등포구,37.5264,126.8962
용산구,37.5323,126.9901
은평구,37.6176,126.9291
종로구,37.5729,126.979
중구,37.5638,126.9976
중랑구,37.6063,127.0927
